#Character ID	Max Speakers	Gender	Age	Status	Comment	Reference	FCBH Character
father of concubine	1	Male				JDG 19:5 <-(2 more)-> JDG 19:9	Father in Law
father of cured man, blind from birth	1	Male				
father of demon-possessed boy	1	Male				MAT 17:15 <-(8 more)-> LUK 9:40
father of false prophet	1	Male				ZEC 13:3
Felix, governor of Judea	1	Male				ACT 23:34 <-(6 more)-> ACT 24:27
fellow prophet who refused to strike him	1	Male				1KI 20:35
Festus, governor of Judea	1	Male				ACT 25:4 <-(19 more)-> ACT 26:31
figure like that of a man (in vision)	1	Male			Default character should be Jesus	EZK 8:5 <-(8 more)-> EZK 9:1
fir trees and cedars of Lebanon	-1	Neuter				ISA 14:8	Tree
flatterers	-1					PSA 12:4
follower of Apollos	1					1CO 1:12 & 1CO 3:4
follower of Cephas (Peter)	1					1CO 1:12
follower of Christ	1					1CO 1:12
follower of Paul	1					1CO 1:12 & 1CO 3:4
followers of Jesus	-1					LUK 22:49
Folly	-1	Female				PRO 9:16 & PRO 9:17
fool	1					PSA 14:1 <-(1 more)-> ECC 7:10
foot	1	Neuter				1CO 12:15
foreigner who has joined himself to Yahweh	-1	Male				ISA 56:3	Foreigner
foreman	1	Male				RUT 2:6 & RUT 2:7
formerly mute demon-possessed man	1	Male				LUK 11:14
fortune telling slave girl	1	Female	YoungAdult			ACT 16:17
friends of Haman	-1	PreferMale				EST 5:14 & EST 6:13
Gaal, son of Ebed	1	Male				JDG 9:28 <-(2 more)-> JDG 9:37
Gabriel	1	Male				DAN 8:17 <-(28 more)-> LUK 1:37
Gad	1	Male			son of Jacob	GEN 37:8 <-(33 more)-> GEN 50:18	Gad, son of Jacob
Gad the prophet, David's seer	1	Male				1SA 22:5 <-(3 more)-> 1CH 21:12	Gad
Gadarene (or Gerasenes) people	-1					MAT 8:34 <-(2 more)-> LUK 8:37
Gadites	-1	Male				NUM 32:3 <-(21 more)-> JOS 22:29
Gallio, proconsul of Achaia	1	Male				ACT 18:14 & ACT 18:15	Governor
Gamaliel	1	Male				ACT 5:34 <-(4 more)-> ACT 5:39
